type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,718685,碩禾元大0C購01,TW21Z7186855,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718686,鴻碩元大08購02,TW21Z7186863,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718687,中美晶台新08購01,TW21Z7186871,2021/02/25,上櫃,,RWSCCE
上櫃認購(售)權證,718688,群聯康和08購01,TW21Z7186889,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718689,力旺凱基08購03,TW21Z7186897,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718690,力旺凱基09購01,TW21Z7186905,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718691,大江凱基08購01,TW21Z7186913,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718692,安力凱基08購01,TW21Z7186921,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718693,佳邦凱基08購05,TW21Z7186939,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718694,杰力凱基0C購01,TW21Z7186947,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718695,金益鼎凱基08購01,TW21Z7186954,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718696,泰博凱基08購01,TW21Z7186962,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718697,崧騰凱基09購01,TW21Z7186970,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718698,群聯凱基08購04,TW21Z7186988,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718699,僑威凱基08購02,TW21Z7186996,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718700,曜越凱基08購01,TW21Z7187002,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718701,台半兆豐08購01,TW21Z7187010,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718702,創惟兆豐08購01,TW21Z7187028,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718703,力旺元富08購01,TW21Z7187036,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718704,力旺元富0B購02,TW21Z7187044,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718705,力旺元富0B購03,TW21Z7187051,2021/02/25,上櫃,,RWSCCA
